text,label,suspected_label,matched_keywords,label_keyword_score,suspected_keyword_score,risk_reason
我内裤不性感!我不喜欢装可爱啊~~~~~准确率89.99%！白羊座：喜欢裸睡金牛座：喜欢同性双子座：喜欢自恋巨蟹座：喜欢穿性感内裤狮子座：喜欢装可爱处女座：喜欢鸳鸯浴天秤座：喜欢坏男人天蝎座：喜欢YY射手座：喜欢性虐待摩羯座：喜欢看A片或G片水瓶座：喜欢双性恋双鱼座：喜欢单身。,愤怒,喜悦,喜欢,0,13,possible_label_mismatch
再胡说老子毙了你！我好普通啊我被骂多少不知道，不过转载还是可以的！。没人骂你你是可怜的人；1%的人骂你你是平庸的人；5%的人骂你你是正常的人；10%的人骂你你要出名；20%的人骂你你已出名；30%的人骂你你是非凡的人；40的人骂你你是超人；50%的人骂你，你是专家；60%的人骂你你是城管；70%骂你你是贪官；80%的人骂你，你是神棍；90%的骂你，你就不是人了。,喜悦,愤怒,骂,0,13,possible_label_mismatch
我爱看彩排。。爱看她的一切。。。怎么办。。。周笔畅彩排毒蘑菇~~~扭啊扭。。。。好欢乐。。好哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,愤怒,喜悦,哈哈,0,13,possible_label_mismatch
哈哈太搞了，那小女孩太有戏了天哪！我快笑晕了~哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈。。笑的我眼泪都流下来了。哈哈哈哈哈哈~~有意思，谁想出来的搞笑小民警，42秒开始笑到扶肚子。,愤怒,喜悦,哈哈,0,13,possible_label_mismatch
双鱼座：喜欢单身不是吧？？？好象真是喜欢裸睡金牛座：喜欢同性双子座：喜欢自恋巨蟹座：喜欢穿性感内裤狮子座：喜欢装可爱处女座：喜欢鸳鸯浴天秤座：喜欢坏男人天蝎座：喜欢YY射手座：喜欢性虐待摩羯座：喜欢看A片或G片水瓶座：喜欢双性恋双鱼座：喜欢单身,愤怒,喜悦,喜欢,0,13,possible_label_mismatch
吖献幢ǜ瓷缁?其实我还蛮喜欢这个红发的==哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈这货...这货...第200条是报复的午夜档,低落,喜悦,喜欢 | 哈哈,0,13,possible_label_mismatch
額，我係果89%...双鱼座：喜欢单身不是吧？？？喜欢裸睡金牛座：喜欢同性双子座：喜欢自恋巨蟹座：喜欢穿性感内裤狮子座：喜欢装可爱处女座：喜欢鸳鸯浴天秤座：喜欢坏男人天蝎座：喜欢YY射手座：喜欢性虐待摩羯座：喜欢看A片或G片水瓶座：喜欢双性恋双鱼座：喜欢单身,愤怒,喜悦,喜欢,0,13,possible_label_mismatch
骂成这样都不成材，看来只能打了中国不是有句老话吗？不打不骂不成才，棍棒下边出孝子。骂骂更健康凭什么韩国赢了，骂国足；日本赢了，骂国足；朝鲜输了也骂国足！！凭什么韩国赢了，骂国足；日本赢了，骂国足；朝鲜输了也骂国足！！凭什么韩国赢了，骂国足；日本赢了，骂国足；朝鲜输了也骂国足！！----吃饭睡觉打豆豆嘛，这都不懂,喜悦,愤怒,骂,0,13,possible_label_mismatch
悄悄的告诉你，D盘有哦~噗哈哈太人性化了吧我擦笑死我了wwwwwwwwwwwwww哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈现在的网吧真是越来越人性化了(via@郭吉军),厌恶,喜悦,哈哈 | 笑死,0,13,possible_label_mismatch
正听到甩葱歌的时候让我看到这个，哈哈哈哈哈哈哈，要笑死我了！哈哈哈哈哈哈。。。默默飘走哈哈哈哈哈哈哈哈哈哈哈哈HHP你还在么天啊。。这是我看过的最黑的图了吧。。。动图压箱宝，本来准备留德比发的，骡儿真是各种百变各种风骚,低落,喜悦,哈哈 | 笑死,0,13,possible_label_mismatch
狮子座明明最自恋！装可爱，我才不会找拍到这种程度好伐！:双子座那个歧义了吧，射手座好准=w=:我才不喜欢单身:金牛水瓶真是让人心花怒放啊喜欢裸睡金牛座：喜欢同性双子座：喜欢自恋巨蟹座：喜欢穿性感内裤狮子座：喜欢装可爱处女座：喜欢鸳鸯浴天秤座：喜欢坏男人天蝎座：喜欢YY射手座：喜欢性虐待摩羯座：喜欢看A片或G片水瓶座：喜欢双性恋双鱼座：喜欢单身,愤怒,喜悦,喜欢,1,13,possible_label_mismatch
得，找人骂去！哈哈！呵呵，你给自己找的论据很充分！不被人妒是庸才！哈哈，你看，我有多了一个千分之一。精辟，杜子建不是好人没人骂你你是可怜的人；1%的人骂你你是平庸的人；5%的人骂你你是正常的人；10%的人骂你你要出名；20%的人骂你你已出名；30%的人骂你你是非凡的人；40的人骂你你是超人；50%的人骂你，你是专家；60%的人骂你你是城管；70%骂你你是贪官；80%的人骂你，你是神棍；90%的骂你，你就不是人了。,喜悦,愤怒,骂,2,13,possible_label_mismatch
啊哈哈哈哈神曲就是神曲啥词都代入感十足噗哈哈哈哈哈神曲....哈哈哈哈哈哈哈哈哈哈！！自覺就唱起來了可惡哈哈哈哈哈哈！！！淫才啊！出卖我的爱，逼着我离开，最后知道真相的我眼泪掉下来出卖我的爱，你背了良心债，就算改了再多合约也再改不回来当初是你要分开，分开就分开，现在又要打官司专辑也不许卖专辑不是你不卖，不卖就不卖让我看透SM这货不配我的爱,厌恶,喜悦,哈哈,0,12,possible_label_mismatch
回复不许笑哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈o(╯□╰)o哈哈哈哈哈哈哈哈哈哈同问我74年的，有博友说比我小4岁，我判断他是70年的，他竟然问我数学老师是谁？,低落,喜悦,哈哈,0,12,possible_label_mismatch
真的假的？？？喜欢裸睡金牛座：喜欢同性双子座：喜欢自恋巨蟹座：喜欢穿性感内裤狮子座：喜欢装可爱处女座：喜欢鸳鸯浴天秤座：喜欢坏男人天蝎座：喜欢YY射手座：喜欢性虐待摩羯座：喜欢看A片或G片水瓶座：喜欢双性恋双鱼座：喜欢单身,厌恶,喜悦,喜欢,0,12,possible_label_mismatch
回来加班……晚点咱们打车回……哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈清华科技园门口真是一车难求啊，等了半个小时，凡路过的29、908全部挤爆，前门都开不了，还有一辆251，等到现在还没见过，一辆空出租车的影子也没见着，公司真是挑了个好地方…,愤怒,喜悦,哈哈,0,12,possible_label_mismatch
我是白羊，我不说准不准准确率93%白羊座：喜欢裸睡金牛座：喜欢同性双子座：喜欢自恋巨蟹座：喜欢穿性感内裤狮子座：喜欢装可爱处女座：喜欢鸳鸯浴天秤座：喜欢坏男人天蝎座：喜欢YY射手座：喜欢性虐待摩羯座：喜欢看A片或G片水瓶座：喜欢双性恋双鱼座：喜欢单身。,低落,喜悦,喜欢,0,12,possible_label_mismatch
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈o(╯□╰)o哈哈哈哈哈哈哈哈哈哈同问我74年的，有博友说比我小4岁，我判断他是70年的，他竟然问我数学老师是谁？,低落,喜悦,哈哈,0,12,possible_label_mismatch
回复我是无语了你竟然有同感双性恋？？？啥个意思嘛神马和神马啊这是！！！【十二星座大曝光】准确率89.99%！白羊座：喜欢裸睡金牛座：喜欢同性双子座：喜欢自恋巨蟹座：喜欢穿性感内裤狮子座：喜欢装可爱处女座：喜欢鸳鸯浴天秤座：喜欢坏男人天蝎座：喜欢YY射手座：喜欢性虐待摩羯座：喜欢看A片或G片水瓶座：喜欢双性恋双鱼座：喜欢单身。,厌恶,喜悦,喜欢,1,12,possible_label_mismatch
啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈><HHP哈哈劈它……爆裂了！噗...HHP...HHPHHPHHP。【可爱猫猫】拍照的时候不要晃头啊！,低落,喜悦,哈哈,0,11,possible_label_mismatch
大声宣布，25件幸福的事情全部经历过，ing15项以上。是不是算超级幸福的呢？幸福不是别人给的，自己觉得幸福就很幸福。幸福测试【幸福测试】幸福的25件事情，你经历过几件？1、经历10件一下，幸福感欠缺。2、经历10件以上，表示比较幸福。3、经历20件以上，表示非常的幸福。,厌恶,喜悦,幸福,0,11,possible_label_mismatch
狐急跳墙乱来了嘛哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈:搜狐疯了吧，擅自同步了我的微博，我却没有得到任何通知。最让我怒的是那张头像，那个猪头是谁？！我可以走法律程序么？！这是谁干的？！！！！！！,愤怒,喜悦,哈哈,1,11,possible_label_mismatch
回覆哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈EEEEEEEEEEEEEEEEEEEEEEEE在吃烧烤哈，想吃哇？只有望图止渴啦！哇哈哈哈,低落,喜悦,哈哈,0,10,possible_label_mismatch
哈哈哈哈哈哈哈哈哈哈哈，同学，你太可爱了吧，好吧，深圳有台风来，是你想家了吧，哈哈哈哈哈哈哈哈哈哈今天台北下午某时段下大雨。为什么这么迟才迎接我的到来。。。,低落,喜悦,哈哈,0,10,possible_label_mismatch
法兰克……我想看本山版的……马夫生子……！居然好适合的样子……！马夫生子拍桌！哈哈哈哈哈哈哈哈哈哈哈哈马夫生子哈哈哈哈哈哈这是神马？？马夫生子版吗……№146☆☆☆++于2010-12-0122:09:45留言☆☆☆我挺喜欢《马夫》的，但是同学你这脑补得我以后怎么再看这文啊。。。。,愤怒,喜悦,喜欢 | 哈哈,0,10,possible_label_mismatch
"哈哈哈哈哈哈哈。真是好搞笑啊！！！广工的男生悲哀！啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑疯了中大抓到一恐龙。广中医说解剖；华农说放归自然；暨大说放在动物园卖票；华师说让它上学；广外说教它说人话；广大说拿去穿超短裙；广美说拿去当模特；广药说拿去做试验；深大说送给欢乐谷；广工的男生说，TMD,谁敢动我们校花！！",愤怒,喜悦,哈哈,0,10,possible_label_mismatch
"我也要笑死了，期待看到一众国际明星穿上它们的样子LouisVuittonSpring2011,哈哈，哈哈，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈",厌恶,喜悦,哈哈 | 笑死,0,10,possible_label_mismatch
有意思！“你对你的工资不满意吗？”他说：“满意。”“对你的住房不满意？”“满意”“那是上网环境不满意？”“也满意”“对医疗，孩子上学都不满意？”“都满意！”“既然你都满意为什么还要移民？”“因为那边允许有不满意！”,愤怒,喜悦,满意,0,10,possible_label_mismatch
呜呜就在这一瞬间有一个谁退出了呜呜呜伤心]伤心]伤心]伤心]伤心]伤心]伤心]伤心]伤心]伤心]只有699个了。。。。,厌恶,低落,伤心,0,10,possible_label_mismatch
很好笑啊。哈哈哈哈哈哈哈很好笑么啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈！说实话，俺实在是看不下去了……不知谁能坚持到最后？,厌恶,喜悦,哈哈,0,10,possible_label_mismatch
不出意外的话~你們2個一起來？去世博玩去，哈哈哈哈你俩又被着我干嘛去……到上海别和我睡一张床！！！那你离我远点我也不想给你幸福哈哈哈哈啊完全没有，好杯具的~~“什么是幸福？没有痛苦就是幸福。什么是快乐？内心愉悦就是快乐。什么是成功？不懈追求就是成功。什么是前进？没有止步就是前进。什么是真诚？实事求是就是真诚。什么是朋友？危难相助就是朋友。什么是伟大？能给人幸福就是伟大。”,低落,喜悦,快乐 | 幸福 | 哈哈,1,10,possible_label_mismatch
娘的又被嫌弃了..叫你们话多被嫌弃了吧“还好啦，就是爱搭人家的话”哈哈哈哈哈哈哈又被嫌弃了哈哈哈哈哈哈哈哈哈哈哈哈哈,低落,喜悦,哈哈,0,9,possible_label_mismatch
笑死我咩哈哈哈哈哈哈哈哈哈我要养翻只。我中意!!!!!哈哈哈~~好鬼得意啊~真系好搞野哈哈哈哈哈哈对眼！！！,愤怒,喜悦,哈哈 | 笑死,0,9,possible_label_mismatch
"第一条好啊有证人，哈哈哈我作证，这事儿是真的今天就在去年过冬的衣服里摸到十块钱幸福就是你去自习室上自习,一推开门发现自己想见的那个人也在这间教室里~~【幸福就是这样】1.幸福就是每天早晨醒来一看表,竟然还能再睡半个小时。2.幸福就是你去自习室上自习,一推开门发现自己想见的那个人也在这间教室里。3.幸福就是整理衣服时，在去年过冬的衣服里翻出好几十块钱。4.幸福就是开心的听完一首歌，看完一场电影。5.幸福就是下班回家敲门，而不是找冰冷的钥匙。",愤怒,喜悦,开心 | 幸福 | 哈哈,0,9,possible_label_mismatch
"看来报社编辑确实被挖差不多了:意大利是更大笑话:哈哈！:哈哈哈哈:哈哈:哈哈哈:笑喷了，这标题:哈哈哈哈今天广州日报的头版真搞笑,我笑了10分钟~哈哈哈哈",低落,喜悦,哈哈,0,9,possible_label_mismatch
有时真的很需要这种精神，我向这位妈妈致以崇高的敬意！！！今儿咱老百姓，真呀么真高兴……剧烈捶地！！！哈哈，太阳光了。哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑喷了喷了。。。。。。有史以来让伊能静最尴尬、让周立波最无语、让高晓松最莫名的选手,愤怒,喜悦,高兴 | 哈哈,0,9,possible_label_mismatch
李晨祝你生日快乐！做为老板！我能做的就是一下让看到！关于他跟你说生日快乐这件事情.....呵呵呵呵.........乖，早点睡吧！生日快乐，好好工作！我代表NPC所有的同事和两位老板祝你生日快乐！希望你以后能成熟点，努力工作！礼物等你上班了给你吧。还有半个小时。我希望我希望。。。老板。老板娘。还有薛之谦。还有朱桢。还有还有很多喜欢我的人认识我的人祝“生日快乐”。其实我很期待的是薛之谦。不过我比较喜欢做梦。过会儿梦就要开始了。我会梦见薛之谦对我说生日快乐的丫。哈哈哈,厌恶,喜悦,快乐 | 喜欢 | 哈哈,0,9,possible_label_mismatch
。我也想把后半生的理想嫁祸于此——推之！一万年太久，只争朝夕！喜欢的同学，抓紧！CCD300喜欢读书、喜欢电影、喜欢音乐、喜欢艺术、喜欢设计、喜欢沙龙、喜欢调酒咖啡？都喜欢？那来吧，这里有书屋，有放映厅，有音乐现场，有画廊，设计师楼、有各种文化沙龙，有酒吧咖啡厅、影像工作室、……发送简历至ccd300a@163.com我们期待你的加入！,愤怒,喜悦,喜欢,0,9,possible_label_mismatch
这个包是怎么用的？宝宝，那个包你以后就让狗剩帮你背吧~同嫉妒！心肝问了她好多问题…“那这个在像这样的阴天可以用吗？…”“那我在室内可以用吗？…”各种刁难嫌弃的问题男亲灰常圆满哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈会。。然后。大笑。。我想说。。男亲。我嫉妒你。。,低落,喜悦,哈哈,0,9,possible_label_mismatch
我相信陈冠希的绯闻是全球皆知，瞧瞧米花的眼神，好乐啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈确实好好笑我家小哥哥那姿势真是啧啧啧啧哈哈哈哈哈，希希在旁边被围观……配字亮了配的字很好笑。。o(╯□╰)o豆花吧，你赢了==+,厌恶,喜悦,哈哈,0,9,possible_label_mismatch
天！！！这是哪一段儿？！！！这是谁和谁？！！！哈哈哈哈哈哈哈哈我笑抽了无数次。。。。。。哈哈哈哈!!!看到小哇教精致的机器人跳舞!!!然后......哈哈哈哈!!噗，这个好穿越！！！周仔仔是主持，被访嘉宾是钟汉良童鞋，两只都好可爱！！！女主持是饭团之家里的臭脸妹，哈哈，好穿越好穿越！！！,愤怒,喜悦,哈哈,0,9,possible_label_mismatch
顺便说点什么吧...北京门头沟区环卫中心垃圾清运队队长禹某，利用清运垃圾之便，大肆收受贿赂，被检察院起诉至法院追究刑事责任。向其行贿的有垃圾箱制造商、制造维修垃圾清运车公司等。检察院封杀此垃圾清运队长，令人拍手称快。交通厅长是垃圾，我不惊讶。银行行长是垃圾，我不惊讶。清运垃圾队长是垃圾，我很惊讶。,低落,厌恶,垃圾,0,9,possible_label_mismatch
保姆篡位变后妈！！哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈啊，我笔一副小媳妇的样子！现场封面POSE大比拼，笔笔化身打工妹、管一坨化身后妈，后妈盛气凌人，可怜的打工妹…精彩提前看，爆笑趣事关注开心100周笔畅专场！,低落,喜悦,开心 | 哈哈,0,9,possible_label_mismatch
不好玩，每一条都跟我很像我永远长不大缺乏安全感喜欢依赖喜欢被保护被惦记不高兴喜欢耍小性子【你身上还存在着多少孩子气？】每个人都会或多或少保留着一颗童趣的心，喜欢玩乐，喜欢任性无理取闹，喜欢简单的快乐，喜欢天马行空……成年后的我们，褪去了孩子的影子，慢慢在成熟的外表下世故起来，但是你知道自己身上还存在着多少孩子气吗？一起来看看你有多童心未泯吧。,厌恶,喜悦,高兴 | 快乐 | 喜欢,0,9,possible_label_mismatch
神马…心情复杂…天！！！这是哪一段儿？！！！这是谁和谁？！！！哈哈哈哈哈哈哈哈我笑抽了无数次。。。。。。哈哈哈哈!!!看到小哇教精致的机器人跳舞!!!然后......哈哈哈哈!!噗，这个好穿越！！！周仔仔是主持，被访嘉宾是钟汉良童鞋，两只都好可爱！！！女主持是饭团之家里的臭脸妹，哈哈，好穿越好穿越！！！,愤怒,喜悦,哈哈,0,9,possible_label_mismatch
切。。。笑Ｐ啊笑，银家肚肚疼，，喷这照片！！！！！！哈哈哈哈哈哈哈哈噗哈哈哈哈哈哈哈哈哈深深的感觉到混身的不舒服、、、、原以为是工作上边的繁锁、让我更不想说话，更不想起床更不想看到天亮，原来大姨妈驾到！！！！！！！！！,愤怒,喜悦,舒服 | 哈哈,0,9,possible_label_mismatch
。北京门头沟区环卫中心垃圾清运队队长禹某，利用清运垃圾之便，大肆收受贿赂，被检察院起诉至法院追究刑事责任。向其行贿的有垃圾箱制造商、制造维修垃圾清运车公司等。检察院封杀此垃圾清运队长，令人拍手称快。交通厅长是垃圾，我不惊讶。银行行长是垃圾，我不惊讶。清运垃圾队长是垃圾，我很惊讶。,喜悦,厌恶,垃圾,0,9,possible_label_mismatch
