text,label,text_length,risk_reason
我嗓子太难受了,厌恶,7,weak_label_evidence
真吓人，我怕被夹,厌恶,8,weak_label_evidence
支持，感动,厌恶,5,weak_label_evidence
今日個人躁底,愤怒,6,weak_label_evidence
文艺的龙哥一刚,厌恶,7,weak_label_evidence
驾照拿到勒,喜悦,5,weak_label_evidence
为什么是木头呀,愤怒,7,weak_label_evidence
真是好样的！,愤怒,6,weak_label_evidence
来，文艺一下……,愤怒,8,weak_label_evidence
11期荐读分享：,低落,8,weak_label_evidence
小學小聚結束了,厌恶,7,weak_label_evidence
我现在难受。,厌恶,6,weak_label_evidence
意境尚雯婕ing,喜悦,8,weak_label_evidence
每次看都很震撼,愤怒,7,weak_label_evidence
这哥俩。。。,喜悦,6,weak_label_evidence
。人渣!(開嗓中,喜悦,8,weak_label_evidence
表情尊丰富,喜悦,5,weak_label_evidence
贝蒂?奥巴马?罗,低落,8,weak_label_evidence
缘分！！拍下纪念,厌恶,8,weak_label_evidence
。得正式点,喜悦,5,weak_label_evidence
今天是示爱节,低落,6,weak_label_evidence
很内涵的艺术~,喜悦,7,weak_label_evidence
LOVELIFE,厌恶,8,weak_label_evidence
完美的丸子,愤怒,5,weak_label_evidence
呵呵，技术不错。,厌恶,8,weak_label_evidence
帅~~~~~早！,喜悦,8,weak_label_evidence
食距噶屎拉。。。,愤怒,8,weak_label_evidence
事实如此并非笑话,喜悦,8,weak_label_evidence
我的个展圆满落幕,喜悦,8,weak_label_evidence
警察有什么不好,厌恶,7,weak_label_evidence
我記得我聽過?,厌恶,7,weak_label_evidence
约处女座逛街,厌恶,6,weak_label_evidence
微薄变版式了又？,低落,8,weak_label_evidence
食飽睡一睡..,喜悦,7,weak_label_evidence
我要当老师！,愤怒,6,weak_label_evidence
呙安靜的家。,厌恶,6,weak_label_evidence
回复兔熊期待,厌恶,6,weak_label_evidence
我想挠它肉垫抱抱,愤怒,8,weak_label_evidence
原文地址：,厌恶,5,weak_label_evidence
我要加工资~~,厌恶,7,weak_label_evidence
理想与现实的差距,厌恶,8,weak_label_evidence
时尚女性）,喜悦,5,weak_label_evidence
-俞灏明微薄群,喜悦,7,weak_label_evidence
真有这么一回事。,喜悦,8,weak_label_evidence
盖特纳空手而归。,愤怒,8,weak_label_evidence
南无阿弥陀佛,厌恶,6,weak_label_evidence
祈祷中~第3天,厌恶,7,weak_label_evidence
外面太热了,愤怒,5,weak_label_evidence
天气凉一些了。,厌恶,7,weak_label_evidence
数水饺也没用！,愤怒,7,weak_label_evidence
那个痛！！！,厌恶,6,weak_label_evidence
只睡了两个小时,厌恶,7,weak_label_evidence
尾巴《〈〈〈,低落,6,weak_label_evidence
一直是我想说的”,愤怒,8,weak_label_evidence
必须MARK,愤怒,6,weak_label_evidence
同感.!!狼?,低落,7,weak_label_evidence
捨不得中,厌恶,4,weak_label_evidence
你还不回来,厌恶,5,weak_label_evidence
今天不利出行,愤怒,6,weak_label_evidence
腮帮好痛啊！,愤怒,6,weak_label_evidence
？视觉冲击波,低落,6,weak_label_evidence
嗷嗷嗷！,愤怒,4,weak_label_evidence
我不想再烦了,厌恶,6,weak_label_evidence
证据之三：,喜悦,5,weak_label_evidence
这个给力！,喜悦,5,weak_label_evidence
中環橫風橫雨,愤怒,6,weak_label_evidence
德国交流生。,愤怒,6,weak_label_evidence
这两天很不顺啊！,厌恶,8,weak_label_evidence
以后戒掉这个表情,厌恶,8,weak_label_evidence
李科牵手成功,喜悦,6,weak_label_evidence
总是残忍的拒绝,厌恶,7,weak_label_evidence
马娜成名人了,愤怒,6,weak_label_evidence
把木板拆咯,喜悦,5,weak_label_evidence
沸騰沸人沸點！,愤怒,7,weak_label_evidence
闹心巴拉的、,愤怒,6,weak_label_evidence
郁郁寡欢...,厌恶,7,weak_label_evidence
天啊富士康啊,愤怒,6,weak_label_evidence
上网上的要吐了,厌恶,7,weak_label_evidence
大梅沙过中秋,愤怒,6,weak_label_evidence
我的乖女儿。。。,喜悦,8,weak_label_evidence
那小子真坏～,愤怒,6,weak_label_evidence
谁有祛痘秘方啊,愤怒,7,weak_label_evidence
欣赏wow...,愤怒,8,weak_label_evidence
真是多灾多难。。,愤怒,8,weak_label_evidence
十月芥菜...,喜悦,7,weak_label_evidence
玉树长青...,厌恶,7,weak_label_evidence
第一名。处女座。,喜悦,8,weak_label_evidence
头悬梁锥刺股,愤怒,6,weak_label_evidence
暖男小布】,喜悦,5,weak_label_evidence
草泥马之歌,喜悦,5,weak_label_evidence
。msn=忙死你,喜悦,8,weak_label_evidence
三亚终于下雨了,喜悦,7,weak_label_evidence
河蟹绝对和谐。,厌恶,7,weak_label_evidence
给狗抹药去~嗨~,愤怒,8,weak_label_evidence
回到北京迷！,喜悦,6,weak_label_evidence
真的要走了。。。,厌恶,8,weak_label_evidence
有也要一台呀,愤怒,6,weak_label_evidence
礼仪是种秩序,厌恶,6,weak_label_evidence
让你偷看！,喜悦,5,weak_label_evidence
织毛衣的黄渤,愤怒,6,weak_label_evidence
。故意耍酷,低落,5,weak_label_evidence
我很不淡定~,愤怒,6,weak_label_evidence
勉强下分享图片,低落,7,weak_label_evidence
晚饭么吃，好饿啊,厌恶,8,weak_label_evidence
身体是王道！,低落,6,weak_label_evidence
哇，好真實！！,喜悦,7,weak_label_evidence
今天好疯。,喜悦,5,weak_label_evidence
成都还是很冷。,低落,7,weak_label_evidence
MUA~@王力宏,喜悦,8,weak_label_evidence
加油舟曲！,厌恶,5,weak_label_evidence
碧兒厲害厲害,愤怒,6,weak_label_evidence
杯具，越夜越精神,愤怒,8,weak_label_evidence
竟然无法看直播,愤怒,7,weak_label_evidence
一觉睡到现在,愤怒,6,weak_label_evidence
掐死你的温油,厌恶,6,weak_label_evidence
深有共鸣....,喜悦,8,weak_label_evidence
我梦见的是谁呢？,低落,8,weak_label_evidence
这个手机还可以吧,愤怒,8,weak_label_evidence
呼唤卡王之王,厌恶,6,weak_label_evidence
希望是我看错了吧,厌恶,8,weak_label_evidence
今日上班又迟到啦,愤怒,8,weak_label_evidence
怎么变的那么冷啊,愤怒,8,weak_label_evidence
有爱，就有精彩！,喜悦,8,weak_label_evidence
回来咯回家真好,喜悦,7,weak_label_evidence
我洗洗睡了,喜悦,5,weak_label_evidence
我要返去!！！,愤怒,7,weak_label_evidence
去八佰伴买鞋子！,低落,8,weak_label_evidence
生日快樂~詩詩,喜悦,7,weak_label_evidence
门前大桥下...,喜悦,8,weak_label_evidence
今天明媚，开工咯,厌恶,8,weak_label_evidence
你有才，呵呵,厌恶,6,weak_label_evidence
已經開始放鞭炮了,愤怒,8,weak_label_evidence
。酒窝什么的,愤怒,6,weak_label_evidence
富士康第11跳！,厌恶,8,weak_label_evidence
那必须的！,喜悦,5,weak_label_evidence
头痛欲裂啊,厌恶,5,weak_label_evidence
再次阵亡在感冒上,厌恶,8,weak_label_evidence
旅行的意义-,低落,6,weak_label_evidence
今天好累，,愤怒,5,weak_label_evidence
队列！分享图片,喜悦,7,weak_label_evidence
笑声震天响。。。,喜悦,8,weak_label_evidence
我想要……。,厌恶,6,weak_label_evidence
过山车~大起大落,愤怒,8,weak_label_evidence
盼盼小時候,喜悦,5,weak_label_evidence
小孩子都是魔鬼,愤怒,7,weak_label_evidence
有蚊子了！！,愤怒,6,weak_label_evidence
被气的差点吐血。,愤怒,8,weak_label_evidence
想不笑都不成了,喜悦,7,weak_label_evidence
太好看了:::,喜悦,7,weak_label_evidence
不是金钱，谢谢。,低落,8,weak_label_evidence
床单艺术....,喜悦,8,weak_label_evidence
晚上值班啊,厌恶,5,weak_label_evidence
呛牵美鋨,喜悦,5,weak_label_evidence
秋燥~脾气也燥！,愤怒,8,weak_label_evidence
我有微博了，嘎嘎,愤怒,8,weak_label_evidence
深深的被电酥了,喜悦,7,weak_label_evidence
衣服洗得好累啊,厌恶,7,weak_label_evidence
广而告知…,厌恶,5,weak_label_evidence
还要怎么感人咯。,厌恶,8,weak_label_evidence
杯具帝又遇骗子，,厌恶,8,weak_label_evidence
吐什么吐，哼！）,低落,8,weak_label_evidence
俺的粉丝凑够一年,低落,8,weak_label_evidence
英格籣輸了~~~,厌恶,8,weak_label_evidence
我不会贴照片上来,厌恶,8,weak_label_evidence
我们需要真相～,厌恶,7,weak_label_evidence
太棒了！。,喜悦,5,weak_label_evidence
相信我相信我,低落,6,weak_label_evidence
早安早安，各位。,低落,8,weak_label_evidence
我旁边有个脑残,厌恶,7,weak_label_evidence
。【粉笔立体画】,愤怒,8,weak_label_evidence
你的最爱！,厌恶,5,weak_label_evidence
bb好靚好可愛呀,喜悦,8,weak_label_evidence
今天要赶功课了！,厌恶,8,weak_label_evidence
。最炫的高跟鞋~,厌恶,8,weak_label_evidence
长的一模一样,低落,8,weak_label_evidence
。我家兩個寶貝,喜悦,7,weak_label_evidence
敢不大胜不？,愤怒,6,weak_label_evidence
装死..死左~~,喜悦,8,weak_label_evidence
上班去了！,厌恶,5,weak_label_evidence
惩前才能毖后,厌恶,6,weak_label_evidence
不愧是流氓软件,厌恶,7,weak_label_evidence
。有面子吧,低落,5,weak_label_evidence
。⒆拥门浜?,厌恶,6,weak_label_evidence
有点哲理！。,喜悦,6,weak_label_evidence
快没胶片了,愤怒,5,weak_label_evidence
有真理没道理,愤怒,6,weak_label_evidence
怎是一个惨字了得,愤怒,8,weak_label_evidence
出发—上海,愤怒,5,weak_label_evidence
秒杀啊啊啊啊啊,喜悦,7,weak_label_evidence
存美完整版MV,愤怒,7,weak_label_evidence
值得骄傲的特质。,低落,8,weak_label_evidence
求互粉啦-互粉群,喜悦,8,weak_label_evidence
真有够郁闷的,低落,6,weak_label_evidence
全是黑色黑色黑色,低落,8,weak_label_evidence
头发准是没救了,厌恶,7,weak_label_evidence
俩科考试都考惨了,厌恶,8,weak_label_evidence
马上就我拉…,喜悦,6,weak_label_evidence
节后忧郁症,愤怒,5,weak_label_evidence
广西男人P温情！,低落,8,weak_label_evidence
好凉一个秋。,喜悦,6,weak_label_evidence
"回复不哭哈,乖.",厌恶,8,weak_label_evidence
对说：我屋企只猫,愤怒,8,weak_label_evidence
居然失眠了~,愤怒,6,weak_label_evidence
收不住了，真调皮,喜悦,8,weak_label_evidence
好想去唱k...,厌恶,8,weak_label_evidence
回复。猫版色戒,喜悦,7,weak_label_evidence
干嘛呀这是,厌恶,5,weak_label_evidence
死人高露洁。,愤怒,6,weak_label_evidence
我想买个包！,愤怒,6,weak_label_evidence
期待国庆的到来,愤怒,7,weak_label_evidence
~~·灰主流了,喜悦,7,weak_label_evidence
雪人的雪特叫雪糕,喜悦,8,weak_label_evidence
裤子破洞了。。,低落,7,weak_label_evidence
冷天没衣穿~~,厌恶,7,weak_label_evidence
我想喝鸡汤～～,愤怒,7,weak_label_evidence
热烈祝贺！...,喜悦,8,weak_label_evidence
豬9族早晨呀,喜悦,6,weak_label_evidence
经典！說的是啊,厌恶,7,weak_label_evidence
回复呙蓖旯ぁ?,喜悦,8,weak_label_evidence
把我乐的老霸道了,喜悦,8,weak_label_evidence
Yo嘻哈狗~,愤怒,6,weak_label_evidence
跟着前辈一起供,厌恶,7,weak_label_evidence
住着不想回来,喜悦,6,weak_label_evidence
邊個係你咖?,喜悦,6,weak_label_evidence
手机我要买手机,厌恶,7,weak_label_evidence
真想打自己一顿,愤怒,7,weak_label_evidence
起床，去加班~,愤怒,7,weak_label_evidence
。好困，我想回家,愤怒,8,weak_label_evidence
嘘~咱悄悄地,低落,6,weak_label_evidence
热火输了。。。,厌恶,7,weak_label_evidence
啊！太强悍了！,喜悦,7,weak_label_evidence
都是些瘪子！！！,低落,8,weak_label_evidence
科技感路线...,愤怒,8,weak_label_evidence
又可以休息两天啦,愤怒,8,weak_label_evidence
某人送我的,厌恶,5,weak_label_evidence
金风科技真是的,厌恶,7,weak_label_evidence
回复-围脖诗词坊,喜悦,8,weak_label_evidence
。操，球进了！,喜悦,7,weak_label_evidence
没命的喝水！！！,愤怒,8,weak_label_evidence
分享图片啥都不說,厌恶,8,weak_label_evidence
，痘痘没长脸上，,喜悦,8,weak_label_evidence
大师童年照,喜悦,5,weak_label_evidence
这个真是慧眼,愤怒,6,weak_label_evidence
荷兰赢啦！！！,喜悦,7,weak_label_evidence
我恨！这个社会！,愤怒,8,weak_label_evidence
雨停一下好么。~,愤怒,8,weak_label_evidence
加油)-陈翔橙,喜悦,7,weak_label_evidence
打猫就打脸,喜悦,5,weak_label_evidence
叽驥ITTY,喜悦,6,weak_label_evidence
我和巴斯仔仔！,喜悦,7,weak_label_evidence
热烈欢迎入市,喜悦,6,weak_label_evidence
你冲我发脾气,厌恶,6,weak_label_evidence
晚上香菇鸡粥,厌恶,6,weak_label_evidence
我何啦啦啦啦啦…,愤怒,8,weak_label_evidence
。各种无力。。。,低落,8,weak_label_evidence
逗你玩儿~開玩笑,喜悦,8,weak_label_evidence
妹妹背着洋娃娃,厌恶,7,weak_label_evidence
番越秀山咯,厌恶,5,weak_label_evidence
。了，那眼神！,低落,7,weak_label_evidence
最后的两分钟,低落,6,weak_label_evidence
或者系咯！！,厌恶,6,weak_label_evidence
真给力尚不明确。,喜悦,8,weak_label_evidence
早早起身睇高比仔,愤怒,8,weak_label_evidence
璇儿，我回家啦~,喜悦,8,weak_label_evidence
太有转的必要了。,喜悦,8,weak_label_evidence
平局能接受,喜悦,5,weak_label_evidence
美女郭一新,喜悦,5,weak_label_evidence
好响的雷。。,低落,6,weak_label_evidence
网易被维护了,厌恶,6,weak_label_evidence
求微博备份软件,喜悦,7,weak_label_evidence
看热闹。。。,低落,6,weak_label_evidence
外星生物来访。。,厌恶,8,weak_label_evidence
也是宠物...,厌恶,7,weak_label_evidence
感冒好难受。。,厌恶,7,weak_label_evidence
打人者是SB,愤怒,6,weak_label_evidence
我又想k歌了,厌恶,6,weak_label_evidence
睡了一觉好冷啊,厌恶,7,weak_label_evidence
我也吐血了，,愤怒,6,weak_label_evidence
气场神马的,喜悦,5,weak_label_evidence
拼死去赴一个约。,厌恶,8,weak_label_evidence
感冒了难受死了,愤怒,7,weak_label_evidence
好压迫啊~~~,厌恶,7,weak_label_evidence
单身无罪啊~,愤怒,6,weak_label_evidence
好人一生平安,厌恶,6,weak_label_evidence
立波猫周立波,喜悦,6,weak_label_evidence
热浪逼人哦,低落,5,weak_label_evidence
聚众淫乱。,厌恶,5,weak_label_evidence
明天开学啦,愤怒,5,weak_label_evidence
彻底对冯唐着魔！,愤怒,8,weak_label_evidence
改支持德国了,愤怒,6,weak_label_evidence
有冇搞錯!!!!,愤怒,8,weak_label_evidence
想念当时的刘海,低落,7,weak_label_evidence
机房混乱中~~,愤怒,7,weak_label_evidence
大饼脸怎么了,低落,6,weak_label_evidence
鼻大哥~救命啊~,厌恶,8,weak_label_evidence
来点不一样的·,愤怒,7,weak_label_evidence
有花了，烧的我~,喜悦,8,weak_label_evidence
超爱中间那位,愤怒,6,weak_label_evidence
世上最是老妈好~,愤怒,8,weak_label_evidence
mkc講大話ge,愤怒,8,weak_label_evidence
今天网好慢哦~~,愤怒,8,weak_label_evidence
帶翻手錶有點唔慣,厌恶,8,weak_label_evidence
耶！分享图片,喜悦,6,weak_label_evidence
欢迎大家支持哦,喜悦,7,weak_label_evidence
梅西的任意球,厌恶,6,weak_label_evidence
传递到全中国！,厌恶,7,weak_label_evidence
二姐。我错了16,厌恶,8,weak_label_evidence
最近好多电影看吖,喜悦,8,weak_label_evidence
穿这么多啊！,低落,6,weak_label_evidence
下雨了，收衣服了,愤怒,8,weak_label_evidence
这就是真相！,愤怒,6,weak_label_evidence
“真是偶捡的！”,愤怒,8,weak_label_evidence
后期磨人中。。,愤怒,7,weak_label_evidence
能不气愤麽？,愤怒,6,weak_label_evidence
甜腻了，戒糖,愤怒,6,weak_label_evidence
瞎了我的眼模仿,厌恶,7,weak_label_evidence
敢穿不让看，鄙视,低落,8,weak_label_evidence
又到一年屠龟时,喜悦,7,weak_label_evidence
今早说我胖了,愤怒,6,weak_label_evidence
股市快升快升。,愤怒,7,weak_label_evidence
@白蛇团,厌恶,4,weak_label_evidence
好好玩的一晚,喜悦,6,weak_label_evidence
这个我得去,愤怒,5,weak_label_evidence
很帅很帅啊！！！,愤怒,8,weak_label_evidence
不朽吃M记,厌恶,5,weak_label_evidence
很高大的乐羊羊,愤怒,7,weak_label_evidence
v任贤齐-依靠-,喜悦,8,weak_label_evidence
突然地我又迷茫了,厌恶,8,weak_label_evidence
还有两天额！,愤怒,6,weak_label_evidence
转给各位美眉粉丝,喜悦,8,weak_label_evidence
白天簡單的客廳,愤怒,7,weak_label_evidence
-D双鱼座。,喜悦,6,weak_label_evidence
好！(投稿),低落,6,weak_label_evidence
很帅，很心痛,厌恶,6,weak_label_evidence
还有我的寂寞,厌恶,6,weak_label_evidence
又牙齦紅腫...,低落,8,weak_label_evidence
宝岛第一美女【,喜悦,7,weak_label_evidence
大家请注意,愤怒,5,weak_label_evidence
"回复,那是啊",喜悦,6,weak_label_evidence
咸家产吃C啦..,愤怒,8,weak_label_evidence
你也可以的很简单,喜悦,8,weak_label_evidence
大连的海湾,厌恶,5,weak_label_evidence
（via@猫扑）,喜悦,8,weak_label_evidence
劳记使命勿望国耻,厌恶,8,weak_label_evidence
坡脚去上班~~~,厌恶,8,weak_label_evidence
。裤带好玩么,喜悦,6,weak_label_evidence
饿啊，受不了了,低落,7,weak_label_evidence
等待我的包包……,低落,8,weak_label_evidence
咩黎噶？……,喜悦,6,weak_label_evidence
头都吹晕了,愤怒,5,weak_label_evidence
我正忙着做蝴蝶结,愤怒,8,weak_label_evidence
我非常想念允在,厌恶,7,weak_label_evidence
阉割猥琐男！,愤怒,6,weak_label_evidence
对说：没头没脸,愤怒,7,weak_label_evidence
没人陪我逛街,厌恶,6,weak_label_evidence
我要换个彩铃乐~,喜悦,8,weak_label_evidence
万圣节圣你妹,喜悦,6,weak_label_evidence
觉得越长越难看了,厌恶,8,weak_label_evidence
原来是你可以的,厌恶,7,weak_label_evidence
我想我是失败的,厌恶,7,weak_label_evidence
雨夜，冷，阴冷！,愤怒,8,weak_label_evidence
风好大！！好冷。,厌恶,8,weak_label_evidence
再见了，保罗……,厌恶,8,weak_label_evidence
头疼，真的。,喜悦,6,weak_label_evidence
個人經驗大公開,喜悦,7,weak_label_evidence
又来了传染病？,厌恶,7,weak_label_evidence
哭着看完！,厌恶,5,weak_label_evidence
死了慣咗扎辮添,厌恶,7,weak_label_evidence
朝鲜领导人,愤怒,5,weak_label_evidence
【粉蒸肉】,愤怒,5,weak_label_evidence
嗓子喊到发炎了,愤怒,7,weak_label_evidence
:昨日的偷盜情景,喜悦,8,weak_label_evidence
鬼子这是在意淫吧,愤怒,8,weak_label_evidence
向遇难者默哀！,厌恶,7,weak_label_evidence
这是赤果果的造谣,喜悦,8,weak_label_evidence
大礼包到手了！,愤怒,7,weak_label_evidence
改稿。胃疼,愤怒,5,weak_label_evidence
妞妞越来越美啦！,喜悦,8,weak_label_evidence
嗷，好好看！！！,喜悦,8,weak_label_evidence
一定要买翻部先,愤怒,7,weak_label_evidence
奇人啊！（投稿）,喜悦,8,weak_label_evidence
请关注@錵鐦錵囖,喜悦,8,weak_label_evidence
国外版的小成爸爸,喜悦,8,weak_label_evidence
为什么不过,愤怒,5,weak_label_evidence
等待第九集...,愤怒,8,weak_label_evidence
欢迎大家观看哦~,喜悦,8,weak_label_evidence
时光网回来了！,喜悦,7,weak_label_evidence
10岁的小元,厌恶,6,weak_label_evidence
脏话太多了吧,厌恶,6,weak_label_evidence
期待啊。。。。,喜悦,7,weak_label_evidence
吃大蒜了没,喜悦,5,weak_label_evidence
你是不是全犯了？,低落,8,weak_label_evidence
突然觉得好冷啊,厌恶,7,weak_label_evidence
纠结狂啦啦啦~,厌恶,7,weak_label_evidence
大桥垮塌现场1,愤怒,7,weak_label_evidence
彈跳高蹺好難玩,厌恶,7,weak_label_evidence
取消关注！！！,愤怒,7,weak_label_evidence
特别抗拒整理东西,愤怒,8,weak_label_evidence
好咯以后都不叫咯,厌恶,8,weak_label_evidence
决定出门吃肠粉,喜悦,7,weak_label_evidence
。红领带修修,喜悦,6,weak_label_evidence
谁看见能不疯,喜悦,6,weak_label_evidence
名间高手！搞笑,喜悦,7,weak_label_evidence
。军事化管理,喜悦,6,weak_label_evidence
好羡慕啊，,愤怒,5,weak_label_evidence
想食炸鸡。。,愤怒,6,weak_label_evidence
来，亲个，猫眯眯,低落,8,weak_label_evidence
为由展开调查。,愤怒,7,weak_label_evidence
又在麻将中。。。,厌恶,8,weak_label_evidence
为什么？,厌恶,4,weak_label_evidence
唉，姐又老了一岁,愤怒,8,weak_label_evidence
沖繩好大雨,厌恶,5,weak_label_evidence
麻辣辣D分享图片,喜悦,8,weak_label_evidence
回复谢谢分享！,喜悦,7,weak_label_evidence
求进你空间玩,低落,6,weak_label_evidence
偷情被發現了,愤怒,6,weak_label_evidence
严重感冒中,厌恶,5,weak_label_evidence
死都死不起了,厌恶,6,weak_label_evidence
感谢羽泉啊，加油,喜悦,8,weak_label_evidence
自微博日报(),低落,7,weak_label_evidence
呜，好悲伤,厌恶,5,weak_label_evidence
眼睁睁的看着天亮,愤怒,8,weak_label_evidence
美男啊、呛?,喜悦,6,weak_label_evidence
爱心。。,厌恶,4,weak_label_evidence
尚雯婕越来越美了,愤怒,8,weak_label_evidence
全力支持！,喜悦,5,weak_label_evidence
我要去台湾丫,愤怒,6,weak_label_evidence
呃……文字说明,低落,7,weak_label_evidence
又换回了蘑菇头,厌恶,7,weak_label_evidence
明天有沙尘暴，,愤怒,7,weak_label_evidence
我超极饿的,厌恶,5,weak_label_evidence
还是被捅破了……,愤怒,8,weak_label_evidence
就这样.感冒了~,愤怒,8,weak_label_evidence
怎么能这样！,愤怒,6,weak_label_evidence
朋友，你好嗎！,喜悦,7,weak_label_evidence
我吃撑的了完蛋了,厌恶,8,weak_label_evidence
要尊重科学,愤怒,5,weak_label_evidence
啥事？连锁反应,愤怒,7,weak_label_evidence
祝早日康复,厌恶,5,weak_label_evidence
美翻了美吧？,愤怒,6,weak_label_evidence
也被我看出来了。,低落,8,weak_label_evidence
盗梦空间！,愤怒,5,weak_label_evidence
虽然咁晒～,喜悦,5,weak_label_evidence
蒙奇奇……,低落,5,weak_label_evidence
以善的名义为恶,愤怒,7,weak_label_evidence
请大家来享受一下,喜悦,8,weak_label_evidence
1秋色,喜悦,3,weak_label_evidence
天啊！！太,厌恶,5,weak_label_evidence
。lovely-,喜悦,8,weak_label_evidence
它出来了么,愤怒,5,weak_label_evidence
真是太聪明了。。,喜悦,8,weak_label_evidence
摄于丽江古城一隅,低落,8,weak_label_evidence
回复何寓?,厌恶,5,weak_label_evidence
[蜡烛][蜡烛],厌恶,8,weak_label_evidence
这个必须顶！,厌恶,6,weak_label_evidence
爱是永恒~！,喜悦,6,weak_label_evidence
晕了晕了……,愤怒,6,weak_label_evidence
